题目名称,完成状态,算法类型,解题思路,解题日期,难度,题目链接
142.环形链表II,已完成,"数学方法, 数据结构, 贪心算法, 链表","使用数学方法那么相遇时： slow指针走过的节点数为: x + y， fast指针走过的节点数：x + y + n (y + z)，n为fast指针在环内走了n圈才遇到slow指针， （y+z）为 一圈内节点的个数A。
因为fast指针是一步走两个节点，slow指针一步走一个节点， 所以 fast指针走过的节点数 = slow指针走过的节点数 * 2：
(x + y) * 2 = x + y + n (y + z)
两边消掉一个（x+y）: x + y = n (y + z)
因为要找环形的入口，那么要求的是x，因为x表示 头结点到 环形入口节点的的距离。
所以要求x ，将x单独放在左面：x = n (y + z) - y ,
再从n(y+z)中提出一个 （y+z）来，整理公式之后为如下公式：x = (n - 1) (y + z) + z 注意这里n一定是大于等于1的，因为 fast指针至少要多走一圈才能相遇slow指针。
这个公式说明什么呢？
先拿n为1的情况来举例，意味着fast指针在环形里转了一圈之后，就遇到了 slow指针了。
当 n为1的时候，公式就化解为 x = z，
这就意味着，从头结点出发一个指针，从相遇节点 也出发一个指针，这两个指针每次只走一个节点， 那么当这两个指针相遇的时候就是 环形入口的节点。
也就是在相遇节点处，定义一个指针index1，在头结点处定一个指针index2。
让index1和index2同时移动，每次移动一个节点， 那么他们相遇的地方就是 环形入口的节点。",2025年9月12日,中等,https://leetcode.cn/problems/linked-list-cycle-ii/submissions/661999675/
242.有效的字母异位词,已完成,"哈希, 数据结构",使用数组实现简单哈希表,2025年9月12日,简单,https://leetcode.cn/problems/valid-anagram/submissions/662095485/
349.两个数组的交集,已完成,"哈希, 数据结构",使用由哈希表实现的unordered_set，来存储数据，数据具有唯一性,2025年9月13日,简单,https://leetcode.cn/problems/intersection-of-two-arrays/submissions/662347896/
202.快乐树,已完成,"哈希, 数据结构",使用unordered_set,2025年9月13日,简单,https://leetcode.cn/problems/happy-number/submissions/662368199/
1.两数之和,已完成,"哈希, 数据结构",使用unordered_map，key保存值，value保存下标,2025年9月14日,简单,https://leetcode.cn/problems/two-sum/description/
454.四数相加 II,已完成,"哈希, 数据结构",使用unordered_map存出前两个数组每两个数相加出现的和的次数，然后在其中找与后两个数两两相加等于0的次数,2025年9月14日,中等,https://leetcode.cn/problems/4sum-ii/submissions/662586331/
383.赎金信,已完成,"哈希, 数据结构",unordered_map,2025年9月14日,简单,https://leetcode.cn/problems/ransom-note/submissions/662590213/
15.三数之和,已完成,"哈希, 数据结构",使用哈希表而且注意要去重；还有双指针法,2025年9月14日,中等,https://leetcode.cn/problems/3sum/
18.四数之和,已完成,"搜索算法, 数学方法, 数据结构",与三数之和类似，多嵌套一层循环，两层循环加双指针，将时间复杂度从O(n^4)降到O(n^3),2025年9月14日,中等,https://leetcode.cn/problems/4sum/submissions/662622272/
344.反转字符串,已完成,数据结构,双指针,2025年9月15日,简单,https://leetcode.cn/problems/reverse-string/description/
541.反转字符串II,已完成,数据结构,反转函数,2025年9月15日,简单,https://leetcode.cn/problems/reverse-string-ii/submissions/662944853/
54.替换数字,已完成,数据结构,先看有多少个数字，然后扩容数组大小，然后双指针，一个指向原数组最后一位，新数组指向指向新数组最后一位，当原指针指向数字，就从后插入rebmun，而且不会影响其他字母排序,2025年9月15日,简单,https://kamacoder.com/problempage.php?pid=1064
151.反转字符串中的单词,已完成,数据结构,先去除多余的空格，然后反转字符串，然后反转每个单词,2025年9月15日,中等,https://leetcode.cn/problems/reverse-words-in-a-string/submissions/662963277/
55.右旋字符串,已完成,数据结构,先反转，然后将字符串分成两部分再分别反转,2025年9月16日,简单,https://kamacoder.com/problempage.php?pid=1065
28.找出字符串中第一个匹配项的下标,已完成,数据结构,kmp算法，使用next数组记录j之前（包含j）最大相等前后缀长度，较复杂,2025年9月16日,简单,https://leetcode.cn/problems/find-the-index-of-the-first-occurrence-in-a-string/
459.重复的子字符串,已完成,数据结构,使用移动匹配或者kmp,2025年9月16日,简单,https://leetcode.cn/problems/repeated-substring-pattern/submissions/663436780/
150.逆波兰表达式求值,已完成,数据结构,使用栈，当遇到运算符时，弹出右操作数和左操作数，然后将运算结果压入栈中，如果遇到数字就压入栈中,2025年9月19日,中等,https://leetcode.cn/problems/evaluate-reverse-polish-notation/submissions/664223698/
232.用栈实现队列,已完成,数据结构,两个栈实现队列，一个输入栈，一个输出栈,2025年9月18日,简单,https://leetcode.cn/problems/implement-queue-using-stacks/description/
225.用队列实现栈,已完成,数据结构,用两个队列实现栈，当要出栈时，将第一个队列除了最后一个的值都移到第二个队列，然后将第二个队值移回队列一，当要入栈时就将数字移入队列一,2025年9月18日,简单,https://leetcode.cn/problems/implement-stack-using-queues/description/
20.有效的括号,已完成,数据结构,当遇到左括号就压入栈中，当遇到右括号，将栈顶部弹出判断是否匹配，不匹配则直接返回false,2025年9月18日,简单,https://leetcode.cn/problems/valid-parentheses/description/
1047.删除字符串中的所有相邻重复项,已完成,数据结构,当栈不为空时，如果要压入元素与栈顶部相同则不压入，且弹出栈顶部，反之则压入，最后返回栈中反转后的字符串,2025年9月18日,简单,https://leetcode.cn/problems/remove-all-adjacent-duplicates-in-string/description/
239.滑动窗口最大值,已完成,数据结构,使用双向队列deque实现单向单调递减队列，使队列的最大值始终处于队列头，自定义pop函数，当队头的值等于形参值时则弹出对头值，push函数，只要队尾的值小于形参值，则将队尾巴值都弹出来知道大于等于或者队列为空，然后从队尾压入形参值,2025年9月19日,困难,https://leetcode.cn/problems/sliding-window-maximum/description/
347.前K个高频元素,已完成,数据结构,使用优先队列，使用pair元素类型，底层vector，和自定义优先级规则（根据出现频率比较大小）建立小根堆的优先队列，每次优先队列满了就弹出队头元素，保证留下的都是当时出现频率最高的前k位,2025年9月19日,中等,https://leetcode.cn/problems/top-k-frequent-elements/
144.二叉树的前序遍历,已完成,"搜索算法, 数据结构",每一次先遍历左子树再遍历右子树且先将结点值保存，遇到空指针就往回退,2025年9月20日,简单,https://leetcode.cn/problems/binary-tree-preorder-traversal/
94.二叉树的中序遍历,已完成,"搜索算法, 数据结构",先遍历完左子树，遇到空指针回退，然后再保存数据，然后遍历右子树,2025年9月20日,简单,https://leetcode.cn/problems/binary-tree-inorder-traversal/submissions/664581461/
145.二叉树的后序遍历,已完成,"搜索算法, 数据结构",先遍历左子树，在遍历右子树，遍历完保存数据‘,2025年9月20日,简单,https://leetcode.cn/problems/binary-tree-postorder-traversal/submissions/664581558/
102.二叉树的层序遍历,已完成,"搜索算法, 数据结构",使用迭代方法将结点分层处理,2025年9月21日,中等,https://leetcode.cn/problems/binary-tree-level-order-traversal/description/
107.二叉树的层序遍历II,已完成,"搜索算法, 数据结构",将上一题的result设成栈，然后再把答案出栈,2025年9月21日,中等,https://leetcode.cn/problems/binary-tree-level-order-traversal-ii/description/
199.二叉树的右视图,已完成,"搜索算法, 数据结构",将层序遍历的每一层的最后一个数据保存,2025年9月21日,中等,https://leetcode.cn/problems/binary-tree-right-side-view/description/
637.二叉树的层平均值,已完成,"搜索算法, 数据结构",将每一层的值平均,2025年9月21日,简单,https://leetcode.cn/problems/average-of-levels-in-binary-tree/
429.N叉树的层序遍历,已完成,"搜索算法, 数据结构",同二叉树层序遍历,2025年9月21日,中等,https://leetcode.cn/problems/n-ary-tree-level-order-traversal/description/
515.在每个树行中找对大值,已完成,"搜索算法, 数据结构",同二叉树层序遍历,2025年9月21日,中等,https://leetcode.cn/problems/find-largest-value-in-each-tree-row/description/
116.填充每个结点的下一个右侧结点指针,已完成,"搜索算法, 数据结构",同二叉树前序遍历,2025年9月21日,中等,https://leetcode.cn/problems/populating-next-right-pointers-in-each-node/description/
117.填充每个结点的下一个右侧结点指针II,已完成,"搜索算法, 数据结构",同上,2025年9月21日,中等,https://leetcode.cn/problems/populating-next-right-pointers-in-each-node-ii/submissions/664759390/
104.二叉树的最大深度,已完成,"搜索算法, 数据结构",同二叉树层序遍历,2025年9月21日,简单,https://leetcode.cn/problems/maximum-depth-of-binary-tree/submissions/
111.二叉树的最小深度,已完成,"搜索算法, 数据结构",使用层序遍历或者dfs,2025年9月21日,简单,https://leetcode.cn/problems/minimum-depth-of-binary-tree/
226.翻转二叉树,已完成,"搜索算法, 数据结构",反转,2025年9月22日,简单,https://leetcode.cn/problems/invert-binary-tree/description/
101.对称二叉树,已完成,"搜索算法, 数据结构",递归遍历,2025年9月22日,简单,https://leetcode.cn/problems/symmetric-tree/submissions/665045182/
110.平衡二叉树,已完成,"搜索算法, 数据结构",递归,2025年9月22日,简单,https://leetcode.cn/problems/balanced-binary-tree/submissions/665065506/
222.完全二叉树的节点个数,已完成,"搜索算法, 数据结构",递归,2025年9月22日,简单,https://leetcode.cn/problems/count-complete-tree-nodes/description/
257.二叉树的所有路径,已完成,"搜索算法, 数据结构",递归，前序遍历,2025年9月22日,简单,https://leetcode.cn/problems/binary-tree-paths/description/
404.左叶子之和,已完成,"搜索算法, 数据结构",递归,2025年9月23日,简单,https://leetcode.cn/problems/sum-of-left-leaves/
513.找树左下角的值,已完成,"搜索算法, 数据结构",每一层遍历的第一个值,2025年9月23日,简单,https://leetcode.cn/problems/find-bottom-left-tree-value/
112.路径总和,已完成,"搜索算法, 数据结构",递归递归递归,2025年9月23日,简单,https://leetcode.cn/problems/path-sum/submissions/665365635/
113.路径之和II,已完成,"搜索算法, 数据结构",递归,2025年9月23日,中等,https://leetcode.cn/problems/path-sum-ii/submissions/
106.从中序和后序遍历序列构造二叉树,需复习,"搜索算法, 数据结构",后序遍历为左右中顺序，中序遍历是左中右书顺序，所以我们每次可以从后序遍历中的最后一个元素找到中结点，然后根据中序遍历找出分割点，分割成中序左子树和中序右子树，在根据这两棵树分割出后序左子树和后序右子树，不断递归,2025年9月23日,中等,https://leetcode.cn/problems/construct-binary-tree-from-inorder-and-postorder-traversal/description/
654.最大二叉树,已完成,"搜索算法, 数据结构",与上面一题差不多，每次找到数组中的最大值然后将数组分割成两部分,2025年9月23日,中等,https://leetcode.cn/problems/maximum-binary-tree/description/
617.合并二叉树,已完成,"搜索算法, 数据结构",递归,2025年9月24日,简单,https://leetcode.cn/problems/merge-two-binary-trees/submissions/665693144/
700.二叉搜索树中的搜索,已完成,"搜索算法, 数据结构",递归,2025年9月24日,简单,https://leetcode.cn/problems/search-in-a-binary-search-tree/description/
98.验证二叉搜索树,已完成,"搜索算法, 数据结构",使用中序遍历,2025年9月24日,中等,https://leetcode.cn/problems/validate-binary-search-tree/description/
530.二叉搜索树的最小绝对差,已完成,"搜索算法, 数据结构",递归,2025年9月24日,简单,https://leetcode.cn/problems/minimum-absolute-difference-in-bst/submissions/665748613/
501.二叉搜索树中的众数,已完成,"搜索算法, 数据结构",使用unordered_map存储每个数出现的频率,2025年9月24日,简单,https://leetcode.cn/problems/find-mode-in-binary-search-tree/submissions/665752954/
236.二叉树的最近公共祖先,已完成,"搜索算法, 数据结构",使用自下而上即后序遍历递归,2025年9月24日,中等,https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-tree/description/
235.二叉搜索树的最近公共祖先,已完成,"搜索算法, 数据结构",自上而下搜索,2025年9月25日,中等,https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-search-tree/description/
701.二叉搜索树中的插入操作,已完成,"搜索算法, 数据结构",根据二叉搜索树性质找空位插入,2025年9月25日,中等,https://leetcode.cn/problems/insert-into-a-binary-search-tree/
450.删除二叉搜索树中的节点,已完成,"搜索算法, 数据结构",将删除结点的左子树插到右子树的最小的结点的左子树上，符合二叉搜索树,2025年9月25日,中等,https://leetcode.cn/problems/delete-node-in-a-bst/submissions/665986594/
669.修建二叉搜索树,已完成,"搜索算法, 数据结构",根据左小右大递归,2025年9月25日,中等,https://leetcode.cn/problems/trim-a-binary-search-tree/description/
108.将有序数组转换为平衡二叉搜索树,已完成,"搜索算法, 数据结构",折中取值保证高度差不大于一,2025年9月25日,简单,https://leetcode.cn/problems/convert-sorted-array-to-binary-search-tree/submissions/665996549/
538.把二叉搜索树转换为累加树,已完成,"搜索算法, 数据结构",逆中序遍历，右中左,2025年9月25日,中等,https://leetcode.cn/problems/convert-bst-to-greater-tree/description/
77.组合,已完成,"回溯算法, 数据结构",使用回溯算法遍历数字的不重复的组合，还可以通过剪枝操作来减少遍历量,2025年9月26日,中等,https://leetcode.cn/problems/combinations/submissions/666192096/
216.组合总和III,已完成,"回溯算法, 数据结构",回溯加剪枝,2025年9月26日,中等,https://leetcode.cn/problems/combination-sum-iii/submissions/666200769/
17.电话号码的字母组合,已完成,"回溯算法, 数据结构",回溯算法,2025年9月26日,中等,https://leetcode.cn/problems/letter-combinations-of-a-phone-number/submissions/666213983/
39.组合总和,已完成,"回溯算法, 数据结构",要遍历下一层时地start_index不用+1，表示可以遍历自己,2025年9月26日,中等,https://leetcode.cn/problems/combination-sum/description/
组合总和II,已完成,"回溯算法, 数据结构",回溯，遍历时记得去重,2025年9月26日,中等,https://leetcode.cn/problems/combination-sum-ii/submissions/666229183/
131.分割回文串,已完成,"回溯算法, 数据结构",注意返回条件还有回文串的判断,2025年9月26日,中等,https://leetcode.cn/problems/palindrome-partitioning/submissions/666240805/
93.复原IP地址,已完成,"回溯算法, 数据结构",依旧回溯剪枝，类似切割字符串,2025年9月26日,中等,https://leetcode.cn/problems/restore-ip-addresses/submissions/666259543/
78.子集,已完成,"回溯算法, 数据结构",组合加记录每一个结点的值,2025年9月26日,中等,https://leetcode.cn/problems/subsets/submissions/666262393/
90.子集II,已完成,"回溯算法, 数据结构",比较上一题，去重,2025年9月27日,中等,http://leetcode.cn/problems/subsets-ii/submissions/666401100/
491.非递减子序列,已完成,"回溯算法, 数据结构",同上两题去重,2025年9月27日,中等,https://leetcode.cn/problems/non-decreasing-subsequences/
46.全排列,已完成,"回溯算法, 数据结构",使用used数组,2025年9月28日,中等,https://leetcode.cn/problems/permutations/submissions/666723143/
47.全排列 II,已完成,"回溯算法, 数据结构",依旧使用used而且同层也要去重,2025年9月28日,中等,https://leetcode.cn/problems/permutations-ii/submissions/666730036/
332.重新安排行程,已完成,"回溯算法, 搜索算法, 数据结构",使用回溯超时，Hierholzer 算法 寻找有向图的欧拉通路（从指定起点出发，每条边恰好走一次），并通过 优先队列 保证路径的字典序最小，当该结点没有下一个结点可以走时将其压入结果栈中，最后将结果栈逆转就是答案,2025年9月28日,困难,https://leetcode.cn/problems/reconstruct-itinerary/solutions/389885/zhong-xin-an-pai-xing-cheng-by-leetcode-solution/
51.N皇后,已完成,"回溯算法, 搜索算法, 数据结构",回溯+判断,2025年9月28日,困难,https://leetcode.cn/problems/n-queens/submissions/666823670/
37.解数独,已完成,"回溯算法, 数据结构",回溯+判断,2025年9月29日,困难,https://leetcode.cn/problems/sudoku-solver/description/
455.分发饼干,已完成,"数据结构, 贪心算法",贪心,2025年9月30日,简单,https://leetcode.cn/problems/assign-cookies/description/
376.摆动序列,已完成,"数据结构, 贪心算法",贪心，只需记录波峰和波谷，注意平坡和单调坡情况,2025年10月1日,中等,https://leetcode.cn/problems/wiggle-subsequence/submissions/667367015/
53.最大子数组和,已完成,"数据结构, 贪心算法",贪贪贪贪,2025年10月1日,中等,https://leetcode.cn/problems/maximum-subarray/submissions/667378548/
122.买卖股票的最佳时机II,已完成,"数据结构, 贪心算法",贪贪贪贪，从每日的正收益到全局最大收益,2025年10月1日,中等,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-ii/
55.跳跃游戏,已完成,贪心算法,贪心,2025年10月1日,中等,https://leetcode.cn/problems/jump-game/
45.跳跃游戏II,已完成,贪心算法,贪住,2025年10月1日,中等,https://leetcode.cn/problems/jump-game-ii/submissions/667402673/
1005.K次取反后最大化的数组,已完成,贪心算法,贪,2025年10月2日,简单,https://leetcode.cn/problems/maximize-sum-of-array-after-k-negations/submissions/667488585/
134.加油站,需复习,贪心算法,贪心，从局部到最优，两个变量记录实时消耗和总消耗，当到i时实时消耗小于零，更新起点到i+1，循环结束，如果总消耗量小于0则没有符合的结果，反之返回起点,2025年10月2日,中等,https://leetcode.cn/problems/gas-station/submissions/667494529/
135.分发糖果,已完成,贪心算法,先从左遍历计算candyvec，保证分数大的比左边分数小的大，在从右到左遍历，取左遍历和右孩子+1的最大值保证比左右孩子值都大,2025年10月2日,困难,http://leetcode.cn/problems/candy/submissions/667500405/
860.柠檬水找零,已完成,贪心算法,找零,2025年10月2日,简单,https://leetcode.cn/problems/lemonade-change/submissions/667502775/
452.用最少数量的箭射爆气球,已完成,贪心算法,贪心，按起点从小到大排列，如果当前气球没有与上一个气球重叠，则箭数量加一，如果重叠，则更新当前的最右边界为当前与上一个中最小右边界,2025年10月2日,中等,https://leetcode.cn/problems/minimum-number-of-arrows-to-burst-balloons/description/
435.无重叠区间,已完成,贪心算法,贪心，按开始时间排序或者结束时间排序，若发生重叠，保留结束时间早的区间,2025年10月2日,中等,https://leetcode.cn/problems/non-overlapping-intervals/
763.划分字母区间,需复习,贪心算法,贪心，哈希表记录每个字母的最后出现位置，当循环时走到已走过的字母的哈希最大值，则作为一个子串,2025年10月2日,中等,https://leetcode.cn/problems/partition-labels/description/
56.合并区间,已完成,贪心算法,按起点进行升序，当发生重叠，更新最小左边界和最大右边界，当没有发生重叠，将上一个区间传入result,2025年10月2日,中等,https://leetcode.cn/problems/merge-intervals/description/
738.单调递增的数字,已完成,贪心算法,从后往前遍历，如果前一位大于当前位，标记flag为i，且前一位减1，贪心，将flag到end-1都设为9，就可以得到题目要求,2025年10月2日,中等,https://leetcode.cn/problems/monotone-increasing-digits/submissions/667539187/
968.监控二叉树,已完成,贪心算法,0为无覆盖，1为有摄像头，2为有覆盖，叶子结点的父节点一定有摄像头，所有从下向上遍历，遇到空指针就返回2，如果左右1都返回2就在本结点设置摄像头，还保证叶子结点的父节点有摄像头，当左右孩子返回有一个1时说明本结点被覆盖，返回0否则返回2,2025年10月2日,困难,https://leetcode.cn/problems/binary-tree-cameras/description/
509.斐波那契数,已完成,动态规划,动规,2025年10月3日,简单,http://leetcode.cn/problems/fibonacci-number/description/
70.爬楼梯,已完成,动态规划,动规,2025年10月3日,简单,https://leetcode.cn/problems/climbing-stairs/description/
746.使用最小花费爬楼梯,已完成,动态规划,动gui,2025年10月3日,简单,https://leetcode.cn/problems/min-cost-climbing-stairs/description/
62.不同路径,已完成,动态规划,动规,2025年10月3日,中等,https://leetcode.cn/problems/unique-paths/description/
63.不同路径 II,已完成,动态规划,动规，处理遇到障碍的情况,2025年10月4日,中等,https://leetcode.cn/problems/unique-paths-ii/
343.整数拆分,已完成,动态规划,动规,2025年10月4日,中等,https://leetcode.cn/problems/integer-break/description/
96.不同的二叉搜索树,已完成,动态规划,"动规从前往后退，dp[i]表示有你n个不同的数能组成几个二叉搜索树，比如n = 3 时， 第一种情况 1，2，3中以三为头节点时，1，2为其左结点，则左子树为dp[2]的值，右子树为dp[0],dp[i]+=dp[2]*dp[0]，第二中情况，当2为头节点时，为dp[i] += dp[1] * dp[1] ，第三种1为头节点时，dp[i]+= dp[0] * dp[2]。可以由1，2，3推到其他三个数，结果都一样，所以n个数时，从小到大遍历i，在从小到i遍历j，左子树个数为j-1个，右子树为i-j个，就是说的是n减去头节点，左子树为n-1个逐减到同时右子树逐增到n-1",2025年10月4日,中等,https://leetcode.cn/problems/unique-binary-search-trees/submissions/668000857/
416.分割等和子集,已完成,动态规划,01背包,2025年10月5日,中等,https://leetcode.cn/problems/partition-equal-subset-sum/description/
1049.最后一块石头的重量,已完成,动态规划,01背包,2025年10月5日,中等,https://leetcode.cn/problems/last-stone-weight-ii/description/
494.目标和,已完成,动态规划,01背包,2025年10月5日,中等,https://leetcode.cn/problems/target-sum/description/
474.一和零,已完成,动态规划,01背包,2025年10月5日,中等,https://leetcode.cn/problems/ones-and-zeroes/submissions/
518.零钱兑换II,已完成,动态规划,完全背包,2025年10月5日,中等,https://leetcode.cn/problems/coin-change-ii/description/
377.组合总和IV,已完成,动态规划,完全背包，求排列，先循环背包容量再循环物品,2025年10月6日,中等,https://leetcode.cn/problems/combination-sum-iv/description/
57.爬楼梯,已完成,动态规划,完全背包，求排列总和，先循环背包容量再循环物品,2025年10月7日,中等,https://kamacoder.com/problempage.php?pid=1067
322.零钱兑换,已完成,动态规划,完全背包，求组合数,2025年10月7日,中等,https://leetcode.cn/problems/coin-change/
279.完全平方数,已完成,动态规划,完全背包，求组合数,2025年10月7日,中等,https://leetcode.cn/problems/perfect-squares/description/
139.单词划分,已完成,动态规划,完全背包，求排列，先遍历背包，再遍历物品，循环i遍历背包即子字符串长度，遍历j遍历完子串中的子字符串是否是单词,2025年10月7日,中等,https://leetcode.cn/problems/word-break/description/
198.打家劫舍,已完成,动态规划,由上上个和上一个状态转换过来,2025年10月8日,中等,https://leetcode.cn/problems/house-robber/description/
213.打家劫舍II,已完成,动态规划,分两种情况，一种是要头结点，另一种是不要尾结点,2025年10月8日,中等,https://leetcode.cn/problems/house-robber-ii/description/
337.打家劫舍III,已完成,动态规划,递归树，后序遍历,2025年10月9日,中等,https://leetcode.cn/problems/house-robber-iii/description/
121.买卖股票的最佳时机,已完成,动态规划,使用二维背包记录每个节点时的持有股票的最大现金和没有持有股票的最大现金,2025年10月10日,简单,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock/submissions/669375080/
122.买卖股票的最佳时机II,已完成,动态规划,与上一题相似，只是这次持有股票有持有现金的状态转换有差异,2025年10月11日,中等,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-ii/description/
123.买卖股票的最佳时机III,已完成,动态规划,分五个状态，没有操作、第一次持有股票、第一次卖出股票、第二次持有股票、第二次卖出股票,2025年10月12日,困难,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-iii/submissions/669881868/
188.买卖股票的最佳时机IV,已完成,动态规划,与上一题一样，k次买卖股票，循环j遍历k，当j为奇数时买股票，为偶数时卖股票,2025年10月12日,困难,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-iv/description/
309.买卖股票的最佳时机含冷冻期,已完成,动态规划,分四个状态，已持有股票、保持持有股票、今日买入股票、冷冻期，,2025年10月12日,中等,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-with-cooldown/
714.买卖股票的最佳时机含手续费,已完成,动态规划,与121题一模一样，只需要再购买股票的时候减去手续费就行,2025年10月12日,中等,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/description/
300.最长递增子序列,已完成,动态规划,遍历每一个子序列，一维dp保存以i作为子序列结尾时最长的递增子序列长度,2025年10月12日,中等,https://leetcode.cn/problems/longest-increasing-subsequence/submissions/669924761/
674.最长连续子序列,已完成,动态规划,一维dp单层循环即可,2025年10月12日,简单,https://leetcode.cn/problems/longest-continuous-increasing-subsequence/submissions/669928694/
718.最长重复子数组,已完成,动态规划,两层dp循环，只有当前nums1[i]==mums2[j]时将状态转移,2025年10月13日,中等,https://leetcode.cn/problems/maximum-length-of-repeated-subarray/description/
1143.最长公共子序列,已完成,动态规划,两层dp循环，若当前两个字符串相等，则从dp[i-1][j-1]状态转移而来，若不等则从剔除i元素或者j元素即上面一个和左边一个最大值转移过来】,2025年10月13日,中等,https://leetcode.cn/problems/longest-common-subsequence/submissions/670222337/
1035.不相交的线,已完成,动态规划,与上一题一模一样,2025年10月13日,中等,https://leetcode.cn/problems/uncrossed-lines/submissions/670227359/
392.判断子序列,已完成,动态规划,有左上角和左边的状态转移而来,2025年10月13日,简单,https://leetcode.cn/problems/is-subsequence/submissions/670263831/
115.不同的子序列,已完成,动态规划,当s[i-1]==t[j-1]时，状态由选择当前两个字符加上不选择s[i-1]状态转移而来，如果不相等，则状态由不选择s[i-1]状态转移而来,2025年10月13日,困难,https://leetcode.cn/problems/distinct-subsequences/description/
583.两个字符串的删除操作,已完成,动态规划,与最长公共子序列一模一样，只需要两个字符串的长度减去两个最长公共子序列的长度即可,2025年10月13日,中等,https://leetcode.cn/problems/delete-operation-for-two-strings/submissions/670286431/
72.编辑距离,已完成,动态规划,当s[i-1]==t[j-1]时，状态有左上角状态转移，如果不相等，则从左上，上，左三个状态的最小值加一转移过来,2025年10月13日,中等,https://leetcode.cn/problems/edit-distance/submissions/670294925/
647.回文子串,已完成,动态规划,"当s[i]与s[j]不相等，那没啥好说的了，dp[i][j]一定是false。
当s[i]与s[j]相等时，这就复杂一些了，有如下三种情况
• 情况一：下标i 与 j相同，同一个字符例如a，当然是回文子串
• 情况二：下标i 与 j相差为1，例如aa，也是回文子串
• 情况三：下标：i 与 j相差大于1的时候，例如cabac，此时s[i]与s[j]已经相同了，我们看i到j区间是不是回文子串就看aba是不是回文就可以了，那么aba的区间就是 i+1 与 j-1区间，这个区间是不是回文就看dp[i + 1][j - 1]是否为true。",2025年10月13日,简单,https://leetcode.cn/problems/palindromic-substrings/submissions/670331828/
516.最长回文子序列,已完成,动态规划,与上题一致，只是当字符不相等时由抛弃最左边的字符的子串和抛弃最右边的字符的子串的状态的最大值,2025年10月13日,中等,https://leetcode.cn/problems/longest-palindromic-subsequence/submissions/670332228/
